,0,1,2,accuracy,macro avg,weighted avg
precision,0.821917808219178,0.9467455621301775,0.9827586206896551,0.9357366771159875,0.9171406636796702,0.9345402520382378
recall,0.7317073170731707,0.9836065573770492,0.8382352941176471,0.9357366771159875,0.851183056189289,0.9357366771159875
f1-score,0.7741935483870966,0.964824120603015,0.9047619047619048,0.9357366771159875,0.8812598579173389,0.9339213970937661
support,82.0,488.0,68.0,0.9357366771159875,638.0,638.0
